,time,X_F,Y_F,N_F,psi
0,0,0.0,0.0,0.0,0.0
1,1,-6.477557639553711,5.089173842120507,6.320838839372829,0.03014861365060996
2,2,-8.147278447181776,-5.224509799025707,8.630100408615107,0.10113024810687578
3,3,-2.341305797727124,0.4384018316339499,-0.4997703850961591,0.18775225307708
4,4,-1.6052759246306865,1.9177923009589188,-3.1070643739084076,0.27826200589763433
5,5,-1.9460578680330767,0.13208659726480199,-1.2670921086902052,0.377302129475909
6,6,-2.6915685301408065,-1.941394780726971,-0.36814216996730786,0.4858961555995169
7,7,-7.83444520226847,-1.4726542664925928,-6.276626370736528,0.5934940359958973
8,8,-10.349760555592002,-1.2178249081026822,-8.348530012749636,0.6930580594532375
9,9,-9.942006558399713,-2.8774609138422753,-8.803251329052317,0.7860001284162142
10,10,4.815128821851491,-0.14040495896825744,-9.559741684439317,0.8726513536828249
11,11,10.580773303415759,1.603892437463653,-9.405735625112532,0.9550720931368075
12,12,12.44651367309433,3.29762319466242,2.8610473503631484,1.0502715606194846
13,13,12.705969531167977,5.059526906035138,7.373708835332701,1.1663892026905052
14,14,12.201310676999565,6.805083520850131,9.033717439051166,1.2948931325833475
15,15,11.259884709513424,8.451936275590011,9.644516936175135,1.4295660079035506
16,16,9.98662630702028,0.37443421278087863,9.869225291177994,1.5656579736632625
17,17,8.471953532716864,-5.126511227773824,9.951889150089174,1.6986103258052299
18,18,-3.403202092877174,-0.6988894392174034,6.7947115384502315,1.8216829367252063
19,19,-5.522065012542633,3.223516646692386,-3.8215620693821095,1.9223424374577576
20,20,-1.1066230511985256,0.6820918705365262,-7.726836876385947,1.9975217872112425
21,21,1.7200597885819593,-0.15888680694326318,1.1796488900055482,2.0670296823087084
22,22,2.421366371346312,0.043569054285042874,-1.5438169590811086,2.135609431545803
23,23,2.0039507598424535,0.15086388564965714,0.14768539065039635,2.199345887126312
24,24,1.4054180708236492,0.23015027658105025,-0.7114852214055348,2.2602338498577095
25,25,1.429870994282858,0.20540354749080225,-0.19507176888990604,2.318051476893467
26,26,2.0802267999743833,0.013078595299135465,-0.32575815532867824,2.3738447278248227
27,27,2.4440313612482107,-0.1347695455336131,-0.3388771594726315,2.427459564522668
28,28,2.006242207726893,-0.06913581775005229,-0.49205352023309645,2.4790004314324907
29,29,1.2370179073763476,0.17102014611049465,-0.38667130464682564,2.528883969756967
30,30,1.2628047316233657,0.1856197693355448,-0.22135201043388864,2.577863992318904
31,31,2.113175902633314,-0.08348157641215881,-0.35543238989552395,2.6260119256506047
32,32,2.50639575511275,-0.2131068240201277,-0.3983717913046664,2.673152453814717
33,33,1.9198481104023735,-0.0899664334892738,-0.3970438938060689,2.7194237026217016
34,34,1.0639761780066521,0.09367081882351092,-0.34522427075279,2.765134175857867
35,35,1.2039035177976105,0.06617194490333683,-0.31525512678190615,2.8106073802468456
36,36,2.275004921165609,-0.09657824258494607,-0.29212971712734837,2.8559668539911214
37,37,2.776942200408178,-0.14459898021650186,-0.3464459121084725,2.9010697371693746
38,38,2.0075192304319023,-0.05635942953731943,-0.3591434049626166,2.9458203598749635
39,39,1.0971900837248456,-0.006793088412263781,-0.33056301224596835,2.9904236631302292
40,40,1.3249437078805726,-0.057094221560608546,-0.267845868614198,3.035186073996732
41,41,2.272865166136829,-0.10900244617666187,-0.2958425122100782,3.0801484983128544
42,42,2.6666133205603506,-0.09960103043802818,-0.2762648559198177,3.1252043274845027
43,43,1.9985201299251494,-0.0760399203291095,-0.3326287780803153,3.1702604961132854
44,44,1.0876416473085686,-0.09944435419515628,-0.29164369119398936,3.2154349830121474
45,45,1.325662817568691,-0.10088965994672944,-0.21264031807552772,3.2610621244469216
46,46,2.434301390880571,-0.0067418750580075515,-0.21563377191776187,3.307189066248702
47,47,2.8639691142720123,0.06632700715646966,-0.20536517321511663,3.3536522985572983
48,48,1.9941608889116056,-0.029907953601828963,-0.2540649930766647,3.400313925505458
49,49,1.136626773479335,-0.14670126925829247,-0.21295510202886236,3.447304894882351
50,50,1.3861793498298038,-0.09516414255654915,-0.08177975552857082,3.4950157541498332
51,51,2.4066046734261675,0.1101140182273257,-0.09866949294046375,3.5434880697930953
52,52,2.8081221694513157,0.19630180268859132,-0.17203297124289724,3.5924026476381785
53,53,2.0437143996674205,0.00019493948686866158,-0.1093277447482595,3.6417359013806734
54,54,1.296373591721172,-0.18899687383028385,-0.13611258634664622,3.691637468348549
55,55,1.5794878927542433,-0.07424300519872973,-0.03539745408444527,3.742336590872995
56,56,2.394893696548778,0.18272754797416946,-0.022195866481683795,3.7939344624213955
57,57,2.621311267555371,0.24063498409360817,-0.06956739907587438,3.8462162245609828
58,58,2.055204191722029,0.06601527197139079,-0.06977193186805643,3.8991078217852255
59,59,1.4265644139895226,-0.1438907824178861,0.012208688276792874,3.9528332217864457
60,60,1.6242741337846098,-0.032975662478924694,0.03940752326613387,4.007581192379315
61,61,2.2273108985504497,0.19541106847970213,-0.009647451138734879,4.063257685380016
62,62,2.3897749656413714,0.23876866416459697,0.0017880430585672032,4.119781962112818
63,63,1.9530927945785763,0.05082181141386044,0.056143066845791095,4.1772470026944415
64,64,1.5578913395393608,-0.10881473288226873,0.08816021400489148,4.235754631713367
65,65,1.7280654340255592,0.009602123855387945,0.016921108992470988,4.295221163382531
66,66,2.095662995520448,0.1730114099849186,0.06794590809707395,4.355635695936807
67,67,2.178143325276866,0.2182337246695658,0.0951229326099483,4.417067547877004
68,68,1.8833640449423283,0.08295792434765642,0.16330141962487843,4.479554535808357
69,69,1.6396365812664504,-0.04007616018459759,0.1306794222996311,4.543042242051765
70,70,1.7979207910454607,0.02487294611649979,0.04756025915445789,4.607324221911864
71,71,2.1127013228175966,0.13012615260855262,0.08787619511047012,4.672390716942443
72,72,2.1690128468406016,0.16033596360942182,0.10191169180660448,4.738301014424943
73,73,1.8872609205767796,0.09953380675015325,0.1386252054091368,4.805047554624766
74,74,1.6471283863635295,0.06800515332184329,0.08340713508057741,4.872516058960996
75,75,1.7920360847427712,0.08904489074879457,0.050796925966520086,4.940554286233463
76,76,2.127136102200846,0.0956467555219086,0.09500396709013569,5.009197066155585
77,77,2.2275579220615875,0.05900174834119121,0.1339575580918772,5.078512870750003
78,78,1.9249981924911488,0.08093949833260128,0.13654676969545346,5.148459958898711
79,79,1.6111304305206613,0.1624162588835466,0.05092513394942157,5.218841128711719
80,80,1.7451410408954384,0.1525845418886601,0.06989018931237415,5.289571478110496
81,81,2.128712469521767,0.09097914254396833,0.10522076435686255,5.360725119061029
82,82,2.3433990044265114,-0.020264169976192736,0.16566114845339194,5.432368570653289
83,83,2.0095898904374594,0.0429283356481408,0.13787912698450985,5.5044451806027785
84,84,1.5757200763629204,0.19271669772414557,0.028093379638551106,5.576702594015936
85,85,1.6904538088641878,0.1811308820990758,0.0785728824503996,5.6491111882224665
86,86,2.059748567214086,0.12121399845835035,0.11233443357178025,5.721784720507369
87,87,2.361628244335566,-0.00846683741059151,0.19578011378518567,5.794805883362978
88,88,2.079230824408452,-0.006840975676762784,0.20854215837765572,5.868190114140129
89,89,1.600096850950944,0.12425233576282968,0.07086029180042194,5.9416558635175365
90,90,1.725632469313037,0.1850702207300453,0.05206125302001581,6.015037019496101
91,91,2.0955912590083248,0.17751639911766653,0.06166713268238775,6.088398876560303
92,92,2.3325964933106897,0.08415488061643339,0.12332029969631948,6.161839047118629
93,93,2.04339099658472,-0.004746459334864964,0.21928201706854789,6.2354971911780535
94,94,1.6123679067476913,0.02423789263983668,0.12961006955090265,6.309212344187261
95,95,1.7811976050895322,0.16863712729509497,0.01796416524888382,6.382657300285032
96,96,2.1930053937109935,0.26984407109510805,-0.014797202124983956,6.4557557876704275
97,97,2.359123934530328,0.21348945405333447,-0.016117756707843336,6.52856797829278
98,98,2.0047124356256645,0.028018914680153273,0.11333709849822676,6.601282131171123
99,99,1.619856049875846,-0.04255884518777975,0.09801257224059014,6.673894262692791
100,100,1.808652261069653,0.15496227283597086,-0.019260639674196636,6.746084027334309
101,101,2.1961714142637296,0.34351764933447504,-0.07450308942763934,6.8176925924989416
102,102,2.326283263187599,0.3168016693637563,-0.10784779306961549,6.8887286175644284
103,103,2.0040398893589186,0.07211808186850144,0.009809219251834476,6.959360956592081
104,104,1.693827890773,-0.050496813841388266,0.02518737848734119,7.029639894088608
105,105,1.8445628557946026,0.15622326356159477,-0.05655702270383476,7.099321360705562
106,106,2.144474787613133,0.36191914920120194,-0.11017383528591022,7.168252474595709
107,107,2.2283777650275836,0.3506875139657293,-0.14892731514351,7.23641008146561
108,108,1.991252039252909,0.11898897995784863,-0.08895676542058177,7.303881758543612
109,109,1.7951410357062565,0.0007937964986413082,-0.0883585580983531,7.370686688964741
110,110,1.9131881477450425,0.16693023146080055,-0.10011578282385855,7.4367315113992705
111,111,2.1120341563688108,0.33915552989914743,-0.09697436186912405,7.502002723901813
112,112,2.1169900034516886,0.35049443912117906,-0.11963289692245914,7.56648293139189
113,113,1.914865344862003,0.152468835151082,-0.136484115648199,7.63013072002192
114,114,1.854635748890225,0.033112840356627815,-0.20661216825364423,7.692840918040041
115,115,2.0511039033279768,0.1369901136402011,-0.17894923959100645,7.754615695805041
116,116,2.2039001130489013,0.24872461379925836,-0.141019618401225,7.815573984099604
117,117,2.089013734853404,0.29050318063080055,-0.10527184075478409,7.875778565105736
118,118,1.7489071006970371,0.22811603865821695,-0.10612266298531421,7.935239891500943
119,119,1.5553896671087288,0.11543934593734517,-0.14569978533109834,7.993909108824625
120,120,1.8357341722999236,0.06810011556162754,-0.1500899116153064,8.051782818630597
121,121,2.224671109654591,0.07033080188027496,-0.18534119061952412,8.108833624185975
122,122,2.1660842039985337,0.07398403524281294,-0.2748633792931905,8.164915776381239
123,123,1.7109056208020788,0.19428450946959158,-0.2679224341133385,8.220054303401286
124,124,1.4616358744057454,0.3219253363724796,-0.13256069594283196,8.274600112028855
125,125,1.8144683766349783,0.19076637282434838,-0.09452522421351807,8.328764502513472
126,126,2.232600347396004,0.0007232739274861677,-0.2531958045555985,8.382262668268888
127,127,2.138309195371943,-0.03305657882237156,-0.29919230136670194,8.43488245955174
128,128,1.5924639880780695,0.17235609814362096,-0.27919239707196997,8.486768925326384
129,129,1.3443741259213033,0.31249268025302235,-0.12797873367734625,8.538300457311612
